"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\abahr\Documents\warehouse_management_system\app\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\abahr\Documents\warehouse_management_system\app\admin.py", "Python", 15, 0, 0, 3, 18
"c:\Users\abahr\Documents\warehouse_management_system\app\apps.py", "Python", 10, 0, 0, 3, 13
"c:\Users\abahr\Documents\warehouse_management_system\app\decorators.py", "Python", 9, 0, 0, 1, 10
"c:\Users\abahr\Documents\warehouse_management_system\app\forms.py", "Python", 10, 0, 0, 2, 12
"c:\Users\abahr\Documents\warehouse_management_system\app\migrations\0001_initial.py", "Python", 68, 0, 1, 7, 76
"c:\Users\abahr\Documents\warehouse_management_system\app\migrations\0002_alter_product_name.py", "Python", 12, 0, 1, 6, 19
"c:\Users\abahr\Documents\warehouse_management_system\app\migrations\0003_report_details_alter_report_report_type.py", "Python", 17, 0, 1, 6, 24
"c:\Users\abahr\Documents\warehouse_management_system\app\migrations\0004_order_status.py", "Python", 12, 0, 1, 6, 19
"c:\Users\abahr\Documents\warehouse_management_system\app\migrations\0005_product_created_by_product_status.py", "Python", 19, 0, 1, 6, 26
"c:\Users\abahr\Documents\warehouse_management_system\app\migrations\0006_remove_product_created_by_remove_product_status.py", "Python", 15, 0, 1, 6, 22
"c:\Users\abahr\Documents\warehouse_management_system\app\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\abahr\Documents\warehouse_management_system\app\models.py", "Python", 68, 0, 0, 7, 75
"c:\Users\abahr\Documents\warehouse_management_system\app\scheduler.py", "Python", 8, 0, 1, 2, 11
"c:\Users\abahr\Documents\warehouse_management_system\app\tasks.py", "Python", 19, 0, 0, 6, 25
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\admin_dashboard.html", "HTML", 0, 0, 0, 1, 1
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\base.html", "HTML", 0, 77, 0, 0, 77
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\login.html", "HTML", 0, 65, 0, 0, 65
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\orders\employee_orders.html", "HTML", 0, 82, 0, 0, 82
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\orders\order_form.html", "HTML", 0, 51, 0, 0, 51
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\orders\order_list.html", "HTML", 0, 91, 0, 0, 91
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\products\product_confirm_delete.html", "HTML", 0, 19, 0, 1, 20
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\products\product_form.html", "HTML", 0, 41, 0, 0, 41
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\products\product_list.html", "HTML", 0, 106, 0, 0, 106
"c:\Users\abahr\Documents\warehouse_management_system\app\templates\reports\report_list.html", "HTML", 0, 30, 0, 0, 30
"c:\Users\abahr\Documents\warehouse_management_system\app\tests.py", "Python", 27, 0, 0, 7, 34
"c:\Users\abahr\Documents\warehouse_management_system\app\urls.py", "Python", 23, 0, 0, 1, 24
"c:\Users\abahr\Documents\warehouse_management_system\app\uuuu.py", "Python", 0, 0, 0, 1, 1
"c:\Users\abahr\Documents\warehouse_management_system\app\views.py", "Python", 230, 0, 5, 18, 253
"Total", "-", 562, 562, 12, 92, 1228
